2025-04-28 22:27:13.343172: Tokyo | 15.61°C | overcast clouds | Humidity: 75%
2025-04-28 22:27:13.973103: kurnool | 35.07°C | broken clouds | Humidity: 26%
2025-04-28 22:50:56.105713: Hyderabad | 32.57°C | scattered clouds | Humidity: 26%
2025-04-28 23:12:39.856338: Hyderabad | 31.29°C | few clouds | Humidity: 33%
2025-04-28 23:12:40.902109: Nuzvid | 27.78°C | scattered clouds | Humidity: 73%
2025-04-28 23:12:41.052046: Delhi | 35.8°C | clear sky | Humidity: 9%
2025-04-28 23:12:41.303230: Vijayawada | 28.45°C | scattered clouds | Humidity: 72%
2025-04-28 23:12:41.466109: Antarctica | -51.72°C | broken clouds | Humidity: 100%
2025-04-28 23:12:41.755697: New York | 23.35°C | clear sky | Humidity: 24%
2025-04-28 23:12:41.884498: London | 18.35°C | broken clouds | Humidity: 49%
2025-04-28 23:12:42.191890: Tokyo | 15.73°C | overcast clouds | Humidity: 73%
2025-04-28 23:12:42.585937: kurnool | 33.45°C | broken clouds | Humidity: 34%
2025-04-28 23:35:21.501420: Hyderabad | 31.29°C | few clouds | Humidity: 33%
2025-04-28 23:35:21.583022: Nuzvid | 27.78°C | scattered clouds | Humidity: 73%
2025-04-28 23:35:21.649964: Delhi | 35.8°C | clear sky | Humidity: 9%
2025-04-28 23:35:21.711945: Vijayawada | 28.45°C | few clouds | Humidity: 72%
2025-04-28 23:35:21.788247: Antarctica | -52.65°C | broken clouds | Humidity: 100%
2025-04-28 23:35:21.871698: New York | 23.18°C | clear sky | Humidity: 26%
2025-04-28 23:35:21.979584: London | 18.03°C | broken clouds | Humidity: 49%
2025-04-28 23:35:22.624878: Tokyo | 15.73°C | overcast clouds | Humidity: 73%
2025-04-28 23:35:22.690171: kurnool | 33.45°C | few clouds | Humidity: 34%
2025-04-28 23:47:28.127077: Hyderabad | 31.29°C | few clouds | Humidity: 33%
2025-04-28 23:47:28.330638: Nuzvid | 27.78°C | scattered clouds | Humidity: 73%
2025-04-28 23:47:28.643250: Delhi | 35.8°C | clear sky | Humidity: 9%
2025-04-28 23:47:28.774574: Vijayawada | 28.45°C | few clouds | Humidity: 72%
2025-04-28 23:47:28.944829: Antarctica | -52.65°C | broken clouds | Humidity: 100%
2025-04-28 23:47:29.151917: New York | 23.18°C | clear sky | Humidity: 26%
2025-04-28 23:47:31.510091: London | 18.41°C | broken clouds | Humidity: 48%
2025-04-28 23:47:31.712225: Tokyo | 15.73°C | overcast clouds | Humidity: 73%
2025-04-28 23:47:31.916367: NELLORE | 27.45°C | broken clouds | Humidity: 81%
